,lenght,time_enc,time_dec
1684,40,999927.5207519531,997543.3349609375
1685,97,994920.7305908203,997066.4978027344
1700,18,997304.9163818359,996828.0792236328
1703,20,997781.7535400391,997781.7535400391
1711,3,997066.4978027344,997543.3349609375
1715,3,998497.0092773438,997066.4978027344
1723,14,997781.7535400391,998020.1721191406
1727,14,997066.4978027344,997304.9163818359
1735,97,997304.9163818359,997304.9163818359
1736,56,998258.5906982422,997304.9163818359
1739,56,997304.9163818359,997543.3349609375
1746,94,997066.4978027344,997304.9163818359
1753,47,997066.4978027344,997543.3349609375
1756,47,997066.4978027344,997066.4978027344
1757,57,997543.3349609375,997543.3349609375
1761,57,997066.4978027344,997304.9163818359
1770,30,998497.0092773438,996589.6606445312
1773,30,997781.7535400391,997066.4978027344
1777,86,995635.986328125,997066.4978027344
1785,98,995159.1491699219,997543.3349609375
1786,98,997304.9163818359,996828.0792236328
1793,98,997066.4978027344,996828.0792236328
1794,98,997304.9163818359,997066.4978027344
1803,28,998020.1721191406,997304.9163818359
1813,28,997781.7535400391,997304.9163818359
1823,5,997066.4978027344,998258.5906982422
1827,5,997543.3349609375,997066.4978027344
1830,81,997543.3349609375,997304.9163818359
1837,81,997066.4978027344,998497.0092773438
1841,52,997304.9163818359,999689.1021728516
1847,52,997304.9163818359,997543.3349609375
1854,80,997066.4978027344,997066.4978027344
1858,71,997781.7535400391,997066.4978027344
1864,76,995874.4049072266,997066.4978027344
1868,76,996589.6606445312,997543.3349609375
1871,76,997066.4978027344,997543.3349609375
1875,76,995159.1491699219,997304.9163818359
1878,76,997543.3349609375,997543.3349609375
1880,76,992774.9633789062,997781.7535400391
1884,5,996828.0792236328,997543.3349609375
1885,5,996828.0792236328,997304.9163818359
1888,5,997304.9163818359,996828.0792236328
1896,89,997543.3349609375,997543.3349609375
1903,89,997304.9163818359,996828.0792236328
1907,32,997543.3349609375,997543.3349609375
1913,32,997304.9163818359,998497.0092773438
1916,32,997066.4978027344,997304.9163818359
1917,32,997304.9163818359,997543.3349609375
1920,32,997304.9163818359,997304.9163818359
1924,7,996589.6606445312,996828.0792236328
1927,42,997543.3349609375,998258.5906982422
1931,1,997066.4978027344,997066.4978027344
1934,8,997304.9163818359,996589.6606445312
1940,4,997543.3349609375,997304.9163818359
1944,79,997543.3349609375,997304.9163818359
1952,61,996828.0792236328,998258.5906982422
1953,61,997781.7535400391,996112.8234863281
1960,14,998020.1721191406,997543.3349609375
1964,23,996828.0792236328,998020.1721191406
1965,23,998258.5906982422,998020.1721191406
1970,23,997543.3349609375,997066.4978027344
1979,65,996828.0792236328,997066.4978027344
1985,62,989198.6846923828,996828.0792236328
1986,76,997066.4978027344,997066.4978027344
1987,76,996828.0792236328,997304.9163818359
1990,65,997304.9163818359,997781.7535400391
1991,65,996828.0792236328,997304.9163818359
1994,43,997066.4978027344,997781.7535400391
1998,13,997066.4978027344,996351.2420654297
2001,13,997543.3349609375,997543.3349609375
2002,74,998497.0092773438,997066.4978027344
2006,52,997066.4978027344,997543.3349609375
2007,52,997543.3349609375,997304.9163818359
2011,52,997543.3349609375,997066.4978027344
2017,34,996828.0792236328,997781.7535400391
2018,34,996828.0792236328,997066.4978027344
2020,34,997543.3349609375,997304.9163818359
2026,10,998020.1721191406,997543.3349609375
2038,37,997781.7535400391,997543.3349609375
2039,37,997066.4978027344,997304.9163818359
2048,65,998258.5906982422,996589.6606445312
2060,23,996351.2420654297,997304.9163818359
2064,23,997066.4978027344,996589.6606445312
2067,98,997304.9163818359,997781.7535400391
2070,98,997781.7535400391,997066.4978027344
2074,82,997304.9163818359,992298.1262207031
2080,82,997543.3349609375,997304.9163818359
2081,82,997304.9163818359,998020.1721191406
2084,10,997066.4978027344,997066.4978027344
2096,79,997304.9163818359,997066.4978027344
2099,79,997304.9163818359,995159.1491699219
2103,24,998020.1721191406,997304.9163818359
2104,4,996828.0792236328,997781.7535400391
2108,4,997543.3349609375,997304.9163818359
2112,7,997066.4978027344,997543.3349609375
2115,46,997543.3349609375,996828.0792236328
2116,46,997304.9163818359,997304.9163818359
2119,71,997066.4978027344,997304.9163818359
2125,24,996828.0792236328,997543.3349609375
2126,24,997781.7535400391,997066.4978027344
2131,24,997304.9163818359,997066.4978027344
2135,73,997304.9163818359,997304.9163818359
2138,55,997781.7535400391,997066.4978027344
2144,31,997543.3349609375,997066.4978027344
2147,31,997304.9163818359,998497.0092773438
2149,31,997304.9163818359,996828.0792236328
2152,31,996589.6606445312,997304.9163818359
2156,31,997066.4978027344,997304.9163818359
2160,24,997543.3349609375,997304.9163818359
2167,59,997543.3349609375,997543.3349609375
2172,59,997304.9163818359,997066.4978027344
2173,26,997543.3349609375,997781.7535400391
2175,26,997066.4978027344,997543.3349609375
2179,26,869274.1394042969,997066.4978027344
2185,34,997304.9163818359,997304.9163818359
2186,34,996828.0792236328,997066.4978027344
2191,34,997543.3349609375,997304.9163818359
2194,34,997066.4978027344,997543.3349609375
2201,45,997304.9163818359,997066.4978027344
2204,87,998020.1721191406,997066.4978027344
2207,87,996351.2420654297,997781.7535400391
2208,87,997543.3349609375,997543.3349609375
2211,47,997543.3349609375,997304.9163818359
2215,15,994920.7305908203,998497.0092773438
2219,90,996828.0792236328,997066.4978027344
2222,23,998020.1721191406,997066.4978027344
2223,23,996828.0792236328,997304.9163818359
2228,23,996589.6606445312,995635.986328125
2232,70,997543.3349609375,997304.9163818359
2233,70,997066.4978027344,998020.1721191406
2236,70,997304.9163818359,996828.0792236328
2240,1,997066.4978027344,997066.4978027344
2243,47,997304.9163818359,997066.4978027344
2255,46,997066.4978027344,997304.9163818359
2256,46,997543.3349609375,997781.7535400391
2257,46,997066.4978027344,998735.4278564453
2258,46,997304.9163818359,996351.2420654297
2259,63,999450.68359375,996828.0792236328
2260,63,996589.6606445312,997066.4978027344
2263,63,997543.3349609375,997543.3349609375
2268,84,997304.9163818359,997066.4978027344
2276,87,997304.9163818359,998973.8464355469
2279,87,997304.9163818359,997543.3349609375
2282,87,997304.9163818359,997304.9163818359
2289,88,997304.9163818359,997543.3349609375
2290,88,997781.7535400391,997304.9163818359
2293,88,997066.4978027344,996828.0792236328
2297,88,998258.5906982422,998020.1721191406
2322,44,995635.986328125,997066.4978027344
2326,31,996112.8234863281,997066.4978027344
2329,31,997543.3349609375,997066.4978027344
2335,53,997781.7535400391,997781.7535400391
2338,33,996828.0792236328,997066.4978027344
2345,33,997543.3349609375,997304.9163818359
2348,44,999927.5207519531,998497.0092773438
2349,44,995159.1491699219,996351.2420654297
2352,44,997304.9163818359,996828.0792236328
2353,44,997543.3349609375,998020.1721191406
2356,44,997304.9163818359,996828.0792236328
2360,44,997066.4978027344,996828.0792236328
2366,37,997066.4978027344,997304.9163818359
2370,37,997304.9163818359,997304.9163818359
2376,99,997543.3349609375,996828.0792236328
2380,79,997304.9163818359,997543.3349609375
2390,48,999450.68359375,997543.3349609375
2391,7,995159.1491699219,997543.3349609375
2395,7,995635.986328125,996828.0792236328
2396,7,997304.9163818359,997543.3349609375
2399,7,997304.9163818359,996589.6606445312
2402,59,997304.9163818359,997304.9163818359
2406,28,997066.4978027344,997304.9163818359
2413,9,997066.4978027344,997304.9163818359
2416,11,996828.0792236328,996351.2420654297
2429,48,997543.3349609375,997304.9163818359
2441,48,996828.0792236328,997304.9163818359
2444,76,997304.9163818359,997304.9163818359
2448,70,997304.9163818359,997543.3349609375
2465,76,997066.4978027344,936746.5972900391
2466,85,997543.3349609375,996828.0792236328
2471,45,997066.4978027344,994443.8934326172
2474,50,997543.3349609375,996828.0792236328
2479,13,997781.7535400391,994205.4748535156
2482,13,997543.3349609375,996828.0792236328
2485,20,996112.8234863281,997781.7535400391
2486,20,996828.0792236328,997304.9163818359
2489,2,996351.2420654297,859260.5590820312
2492,2,996589.6606445312,996589.6606445312
2500,2,997543.3349609375,996828.0792236328
2503,32,997066.4978027344,997781.7535400391
2504,32,996828.0792236328,997066.4978027344
2512,32,997304.9163818359,997066.4978027344
2519,87,997304.9163818359,997304.9163818359
2527,20,998020.1721191406,997066.4978027344
2532,20,997304.9163818359,997066.4978027344
2542,66,997543.3349609375,996828.0792236328
2546,61,997066.4978027344,997304.9163818359
2553,61,997304.9163818359,997066.4978027344
2557,56,997304.9163818359,996828.0792236328
2561,25,997304.9163818359,997304.9163818359
2565,56,999212.2650146484,997304.9163818359
2569,56,997304.9163818359,997066.4978027344
2570,56,996828.0792236328,998258.5906982422
2580,42,997781.7535400391,997543.3349609375
2584,30,996828.0792236328,996828.0792236328
2588,30,995874.4049072266,997066.4978027344
2593,30,997304.9163818359,998020.1721191406
2594,30,996828.0792236328,997066.4978027344
2598,54,996589.6606445312,997304.9163818359
2599,54,997543.3349609375,997304.9163818359
2607,98,997781.7535400391,997781.7535400391
2617,90,997066.4978027344,995874.4049072266
2620,91,998020.1721191406,997066.4978027344
2624,82,997304.9163818359,997066.4978027344
2635,70,996112.8234863281,997543.3349609375
2638,13,997066.4978027344,997304.9163818359
2640,13,997304.9163818359,998735.4278564453
2645,6,997781.7535400391,997781.7535400391
2648,6,997543.3349609375,997304.9163818359
2658,6,997781.7535400391,996589.6606445312
2666,73,998497.0092773438,998497.0092773438
2668,73,997543.3349609375,997543.3349609375
2673,73,997781.7535400391,997543.3349609375
2679,73,996828.0792236328,997304.9163818359
2686,80,998020.1721191406,996589.6606445312
2687,80,997543.3349609375,997066.4978027344
2690,80,996589.6606445312,997304.9163818359
2694,80,997066.4978027344,997543.3349609375
2707,26,997066.4978027344,997066.4978027344
2711,26,997781.7535400391,997066.4978027344
2716,26,997543.3349609375,997066.4978027344
2722,26,997543.3349609375,997304.9163818359
2725,4,997304.9163818359,997543.3349609375
2726,4,997304.9163818359,997543.3349609375
2732,4,997543.3349609375,998497.0092773438
2735,4,997781.7535400391,997781.7535400391
2737,97,503778.45764160156,996828.0792236328
2746,4,997543.3349609375,997304.9163818359
2754,72,995874.4049072266,997543.3349609375
2769,22,997543.3349609375,997304.9163818359
2778,43,997066.4978027344,997543.3349609375
2784,82,996828.0792236328,997304.9163818359
2787,82,997781.7535400391,996828.0792236328
2788,82,997304.9163818359,997781.7535400391
2793,9,997543.3349609375,997304.9163818359
2794,9,997304.9163818359,998020.1721191406
2796,12,997304.9163818359,997781.7535400391
2797,12,997543.3349609375,997543.3349609375
2799,12,997304.9163818359,997066.4978027344
2802,12,998735.4278564453,997304.9163818359
2805,12,997066.4978027344,997304.9163818359
2808,12,998020.1721191406,996589.6606445312
2809,12,996828.0792236328,997543.3349609375
2816,16,997304.9163818359,997543.3349609375
2819,74,996828.0792236328,997781.7535400391
2823,74,997066.4978027344,997304.9163818359
2828,3,996828.0792236328,997543.3349609375
2833,50,997543.3349609375,998497.0092773438
2843,50,997543.3349609375,996589.6606445312
2846,50,997066.4978027344,998735.4278564453
2847,26,998258.5906982422,996112.8234863281
2860,27,996828.0792236328,996589.6606445312
2873,12,998735.4278564453,997781.7535400391
2874,12,997304.9163818359,997066.4978027344
2877,12,997781.7535400391,996351.2420654297
2890,12,997543.3349609375,997543.3349609375
2893,12,997781.7535400391,997543.3349609375
2894,12,996828.0792236328,998973.8464355469
2899,83,997304.9163818359,997066.4978027344
2902,35,997543.3349609375,997304.9163818359
2906,2,997304.9163818359,997304.9163818359
2916,30,997066.4978027344,998020.1721191406
2919,64,997304.9163818359,996589.6606445312
2923,64,997304.9163818359,997066.4978027344
2928,76,992774.9633789062,997066.4978027344
2942,38,997543.3349609375,997304.9163818359
2947,70,998020.1721191406,996351.2420654297
2948,70,996589.6606445312,997304.9163818359
2952,36,996589.6606445312,997066.4978027344
2958,99,998020.1721191406,997304.9163818359
2963,99,996828.0792236328,998020.1721191406
2966,70,998020.1721191406,996589.6606445312
2969,70,997304.9163818359,998020.1721191406
2971,70,997543.3349609375,997066.4978027344
2972,70,997543.3349609375,997543.3349609375
2975,24,997781.7535400391,985383.9874267578
2981,24,997543.3349609375,998020.1721191406
2982,24,997304.9163818359,997781.7535400391
2985,37,997304.9163818359,998020.1721191406
2992,33,997781.7535400391,999689.1021728516
2993,33,996828.0792236328,994205.4748535156
3009,33,997304.9163818359,997304.9163818359
3010,33,997304.9163818359,998020.1721191406
3012,33,997304.9163818359,997066.4978027344
3013,33,997304.9163818359,997543.3349609375
3021,54,997066.4978027344,998258.5906982422
3022,54,997543.3349609375,995397.5677490234
3026,14,997066.4978027344,997304.9163818359
3034,15,997066.4978027344,996351.2420654297
3043,40,997066.4978027344,997304.9163818359
3046,40,997066.4978027344,997543.3349609375
3053,10,997066.4978027344,999450.68359375
3073,33,976085.6628417969,999212.2650146484
3075,88,998020.1721191406,996351.2420654297
3082,88,997304.9163818359,918388.3666992188
3085,88,997066.4978027344,997304.9163818359
3095,46,998020.1721191406,997066.4978027344
3113,81,997781.7535400391,997066.4978027344
3116,97,998258.5906982422,997781.7535400391
